comments,date
"While this movie begins by playing on classic tropes and does have a slightly unique take on the slasher style horror movies, it ultimately ends up feeling uninspired and feels like it stops dead in its tracks. There's very little character development, keeping the characters unforgettable and is borderline plotless. Nothing really makes you afraid in any shape or fashion. The only thing the movie actively tries to do is make you uncomfortable but even then you're just watching with a ""really"" attitude from the shear stupidity that is on display. Save your money and find a different movie to watch the high rating this movie has is undeserved and why people hate this site.",2022-10-07
"So a bunch of actors/actresses go to a deserted farmhouse to make a porn film.None of the characters are likeable with the exception of perhaps the cameraman who gets done dirty by his church mouse girlfriendEssentially it is boring until the last half hour when everything begins to go wrong and the slaughtering happens. The main characters in this are the old weary sexual Pearl and her husband. She just basically wants to be had by anyone and the husband is trying to protect herThere's not really much more to it than that, some of the kills are foreshadowed and the best one involves a crocodileNot great. Thank god that Mia Goth is in it and at least makes it watchable.",2023-01-06
"For the when the horror scenes are on, the film is phenomenal. But everything else, like the sex scenes that feel like they go on for way too long, the movie drags. Great acting, great horror elements, but it feels like the sex scenes are shoehorned in because the writers felt like they could.",2022-05-11
"Went into this movie knowing nothing about it except that it was rated 7.1 on IMDB. The movie started out OK, but stayed just OK throughout. Just about every thing that happened in this movie was 100% predictable. There was no ""what's going to happen next"". It's worth a watch, but don't get your hopes up to high going into it.",2022-04-15
"Lurid bloodbath about a film crew that arrives at an out-of-the-way farmhouse (in a movie like this, what other kind is there?) to shoot a porn flick--or, in the words of the executive producer, ""a good dirty movie."" No sooner do they shoot a handful of scenes than the lights go down, the stars come out...and everyone associated with ""The Farmer's Daughter"" begins getting slaughtered like cows in a slaughterhouse. The long, ominous shots of the farm and the woods surrounding it conjure up just the right amount of dread, the jump scares come exactly when you'd expect them to, and the points the film seems to be making--about the evils of porn (there's a real Bible Belt sensibility at work here) and even the dangers of senior sex--make perfect sense (heavy-handed though they may be) and might even elicit a chuckle or two. But ultimately, the whole thing comes across as an unsavory mash-up of legit porn and slasher porn and may leave you wincing instead of applauding. The FX are good, and the make-up--true horror buffs who are already looking forward to the upcoming prequel ""Pearl"" will know exactly what I'm referring to--is great. Otherwise, unfortunately, ""X"" is an X-ercise in X-cess. Here's hoping ""Pearl,"" even if it's no less bloody, is better.",2022-09-06
"When they said it was a horror they were talking about the old people sex. But other than that the movie was good. The cinematography was very slay. It seems like a summer movie you would make with your friends. I'm not complaining, I love different stuff like that. Overall it was a very good movie and I would recommend it!!",2022-04-15
"I loved this movie. Everybody did a fantastic job. I cant even single out one person. It was fun, sexy, creepy and just plain weird. My only complaint was the movie could have been 30 mins shorter and still been a great movie. Great callback to 70s horror and one adult film from the 70s that shall go unnamed for this post. And stick around for the post credit scene.",2022-04-15
"I love a good horror movie and I wasn't expecting much but boy was I surprised. So the whole porn aspect was not something I like but put that aside and holy moley...
Really creepy gory scenes. The setting of the old house itself was creepy enough but these 2 old people were the creepiest I've seen in ages.The scariest scene for me was the two of them having sex. I think that alone will give me nightmares.I love Brittany Snow and was treated to a lovely rendition of Landslide sung by her but then it was gore town. Whoever wrote this did a great job. I feel an odd mixture of being scared and being sick to my stomach because of horny grandma touching everybody and then moaning in orgasmic pleasure.Don't watch this if the sight of naked old people going at it makes you sick. I'll take a good skull crush any day over seeing that horrific picture. I hope I don't get that old.",2022-10-02
"Rhetorical questions run through your mind as you begin this picture; what happened ? What's happening next ? What will happen ?. We follow a band of adult performers at a location making their skin flick this is 1979 the golden era of pornography.The set of this flick is an old cabin owned by an old couple, everything goes out as planed until the old woman starts engaging in perverted voyeurism, she tries to lure some of the persons engaged in the adult flick into having coitus with her but however they refuse, her rage from sexual starvation leads her to killing the adult performers.Despite its subject matter been an immoral one their is often a reminder of moral fables made by way of television. It's borrowing from 90s movies revolving around the adult industry is quite spectacular as this movie helps to redefine the slasher genre and add a little touch before falling into hands of its genre's usual predictability which is murder of victims.This film is all about sex, killing, sex and remember ;
"" It will be our secret ""
Says the sole survivor who predicts her becoming a star and finally your self made rhetorical questions can now be answered.",2022-05-15
"Has something to say about ageing and loss of desire( or indeed desiring someone).Shades of Texas Chainsaw Massacre, but if your expecting that much gore you may be in for a shock. This is a slow burner that builds on the group of kids come to a house and the people in said house get nasty scenario with lots of tension and some wonderfully eerie imagery that lingered in my mind long after the movie ended.And Mia Goth? Sure the gal is going places,and why not? She was excellent( as was the whole cast)
A movie that takes it's influences and meshes them into something of interest( even for the most jaded horror fan). Quite sad in places concerning one character( you'll see)Might just become a cult classic over the years. Maybe it already has.",2022-04-21
"6.6 serious !! . It is not only a typical old school slasher , in the undertone it has a commentary on sex , beauty etc . If I talk about slasher part then this is a part of horror genre . Horror genre is very technical genre and its cinematography , sound design , editing are just superb . We can literally talk about some shots for a while . Ti West also done a good job in directing part . The brutality has shone in the last 45 min is decently innovative and finely executed. If i come to the thematical part then each character in the film represents types of mindsets in our society towards sex . Every character have their own dynamics especially pearl and max. This kind of theme and characterizatian definitely enhance the film . In acting department Mia Goth has done a brilliant job in double role .Over all I have to say it is a really good fil and you should give it a chance .",2023-02-19
"I was expecting a slow burn horror movie. What I got instead was a very slow, boring movie with a terrible plot. I mean seriously what was that even? 2 stars because at least I laughed at some of the more ridiculous scenes.",2022-05-14
"The cast and crew of a cheap porno movie are stalked and killed by the repressed residents of the farmhouse next to where they're shooting.Filmmaker Ti West understands what made films like this so much fun in the 70's and 80's and has come up with a throwback style slasher that delivers not only the sleaze and gore expected, but also some unexpectedly nice character bits, themes, and performances that add a little emotional weight to all the carnage.",2022-04-19
"This film is an essential reading of the slasher genre that pays fitting homage to many of the classic genre standouts; whilst also adding a refreshing perspective and visualization of heavy themes and issues without losing the nuanced charm that has you laughing one moment, and squirming in your seat the next. It subverts many of the classic narrative conventions with expert fluidity and it has a killer soundtrack too.",2022-03-23
A porno film crew stumble upon an elderly couple's deadly secret when they film a movie on their property.Ti West has made another retro-styled horror film and given his actors fun characters to work with and also let his effects team create some pretty nasty death scenes as well. Well worth your time!,2022-04-24
"Synopsis: A group of young adults rent a farmhouse from an elderly couple to film an adult movie and get more than they bargained for... Blood, guts and gore.Story 4/5: Firstly, the reasoning for these young adults to get into their horrifying situation is unique and really fun to watch unfold. The movie gave me essences of From Dusk Till Dawn where the movie starts off one way and then twists halfway through to something you did not expect. In regards to the trailers, they never give anything away and to be perfectly honest I thought the movie was going to go one way and it definitely took a turn to the macabre. There are some tonally different scenes between the adult film making and the horror elements that really stick out to me with a skewed image of the world. I could also see some imagery and story points that reminded me of the horror classic The Texas Chainsaw Massacre that really put a smile on my face with this film obviously being a love letter to these types of films in this era. Interestingly, I think this story isn't for everyone but it definitely was for me and this was only elevated by the great characters and acting.Acting 4/5: Mia Goth (A Cure For Wellness, Suspiria) was absolutely mesmerising in the 2 roles (yes 2 roles) that she played in this movie. Her line deliveries and mystique of her characters really shone through and got me totally invested in what her character(s) were all about. She isn't the only highlight as I think Jenna Ortega (Scream, You) has become a new scream queen in the horror genre as she puts 110% into her acting. All other cast members were really good and were likeable to the point that I got attached enough so that when they get killed off one by one, I was absolutely gutted to see certain characters go. The likeableness is apparent straightaway with the tight script and each character had their moment to shine, especially with Martin Henderson (Strangers: Prey at Night, Everest) who seems to be inspired by the way Matthew McConaughey acts in his movies and taking on that persona in an entertaining fashion.Visuals 4.5/5: With a great slasher film there must always be great gore effects and this movie had mountains of brilliantly creative gore effects from a stab to the neck to jaws hanging quite literally on a thread. If you are here for the gore, then you won't be disappointed as there are genuine cringeworthy moments which will make you wince at the screen in disgust. Another notable part of the effects is the makeup which looks absolutely wonderful on Pearl (the old woman in the movie) and will sicken and disgust you in every single way. The cinematography that is present in this film is superb and beautiful to look at with some inspired camera movements which know when and where to be in certain scenes. There are certain moments in the movie that could genuinely be posters to present in your house, they are so beautiful. Also visually the way that the adult movie making scenes are captured is brilliantly photographed and feels genuine. There is a certain filter that is used throughout the film that gives it an almost grind house feeling but unfortunately it doesn't quite hit the mark with how a grind house film is usually portrayed. The director Ti West (The House of the Devil, V/H/S) and the cinematographer Eliot Rocket (The Innkeepers, Mr Mercedes) should be proud of the product they created.Editing 3.5/5: When I heard that A24 were releasing this movie I got worried as it is well known that A24 make slow burn horror movies that are unfortunately like marmite to most people (you either love it or you hate it). I can say that even though the movie does have a slight slow burn, it is not excruciatingly slow to the point where you get bored. There are certain scenes that could be considered long and overdrawn but I personally liked the slow burn aspect to the mystery of the older couple. Some scenes were drawn out to make you feel uncomfortable and I applaud the filmmakers on editing choices of the film that made the horror elements truly terrifying. Each scene feels concise and purposeful with genuinely frightening imagery. Unfortunately, not everyone likes these slow burn, almost methodically edited films, so that is the reason why I have knocked it down a few points for people expecting a studio movie such as The Conjuring.Sound 4/5: Each sound aspect of this movie works in it's favour with the eerie soundtrack from Tyler Bates (Atomic blonde, Guardians of the Galaxy Vol. 2) which draw you into the disturbing and frightful scenes. Not only is the original soundtrack great but the regular music fits scenes perfectly and sets the time period respectably. Also, the sound effects are effective and send shivers up your spine and moments of silence really amp you up for what is going to happen next.Summary: A brilliantly shot film with some solid performances, especially from Mia Goth and Jenna Ortega, make this movie very memorable. Its spine tingling moral and its disturbing imagery is absolutely burnt into my retinas and I would definitely consider this a modern classic in horror movies. Unfortunately, I don't think this movie is for everyone and I definitely had this feeling when watching the movie and seeing other people reactions. Will definitely be watching this one again with the knowledge of what is to come before me.Overall: 4/5.",2022-04-01
I have seen a lot of A24s innovative horror movies. A24 has become synonymous with great movies in the horror genre. I had my hopes set with this one thinking that this could be the TCM of this decade. It was an utter disappointment to see that the first 50 minutes or so was a handbook on how to make a porno in the 70s instead of character building. The slasher part of if was taken directly from the old 80s and has been seen several times before. The twist that A24 incorporates in their movies is this time predicting and adds no greater value to the story.,2022-04-16
What a cart full of silly people in a movie.. there is no action no excitement no nothing.. do ur self a favour and don't watch this instead go znd get a did of something else or go to kfc.,2022-05-01
"Whoever green-lighted this project needs a Nobel Prize for being deliriously optimistic about everything.From the script itself to the unlogical characteristics and storyline, this was total waste of time and nerves! If there'd be a rating below 1, I would give it with proud and carry its badge.",2022-05-18
"X is a cracking good flick.... Ti West has a style and attention to detail that is purely his own thing...
Building tension without the viewer even realising things are gonna get messy!!Great performances from the crew!'
Enjoy it.... It's great fun.",2022-07-26
"The story unfolds quite well, we are introduced to the characters and introduces us to these two terrifying old men perfectly.I think the plot and what can be analyzed from it is great.The old lady is the best part of the movie.But honestly all this is destroyed with this ending.I literally felt a little empathy for the elderly psychopaths and for the first young man to die, than for everyone else.Terrible 'final girl', an unpleasant girl and you don't feel anything for her throughout the movie.Very dry and simple murders for a slasher that was so overrated at the beginning.SPOILERS:
The ending is stupid, I don't know what I intended. The old man's death looks silly and empty, it would have been a little more original if he died at the climax while he was having sex with his wife for the last time.Ti West built a good idea but it ends fatal, a pity.",2022-04-19
After watching countless horror flicks it was great to be taken back to the classic 80s slasher style horror. To me personally the first half of the film was a cinematic masterpiece and could've went in any horror trope direction then the killings kicked in and it was fun as hell to watch. It didn't need to make sense because its a fun slasher type horror film. Don't go in expecting something like hereditary and you won't be disappointed.,2022-05-26
"Fun and well-made and everyone plays their part perfectly for what the auteur is seeking, at least from what I can gather. My main thought I kept having though was, this decrepit elderly couple that keeps talking about how old and tired they are sure have way more energy than people half their age, what with all the running around in the middle of the night, getting up to myriad violent hijinks. I'm in my late 40's and I wish I had their gumption to get up and go. But it still didn't necessarily detract from the moodiness of the entire piece, which I'm just throwing a wild guess out there, is a sort of meta homage to Texas Chainsaw Massacre that aims to turn that sub genre of horror somewhat onto its ear. I guess it got there.",2022-10-15
"Well, this movie is not good! I only gave 2 stars because of the good cinematography!Sometimes the Directors get so full of themselves that they try to reinvent the wheel ...this movie should be a straight forward slasher, but someone thought that it should be more...and that's the mistake!The x-rated movie plot is just there for being there...goes nowhere, or maybe is somekind of metaphor I didn't understand...but in the end of the day, does absolutely nothing to move the plot forward!The movie also is clearly pretentious and tries to tackle ""complex"" themes like sexuality, beauty, getting old, etc...but then again, nor does this make any difference moving the plot forward, and also no one cares (it's a slasher movie godammit)!The final result is a movie that tries to be two things at the same time and succeeds at none!",2022-04-16
"I should not be writing this review but I will anyways, hope you all do not judge me, folks. This is a movie to be remembered. A number of totally straight folks go film a porn in a farm? Old secluded people will try to murder them? Does not get better than this. The plot is well built and once we reach the climax, it all go downhill quite fast, no beating around the bush. Sex, violence, farm and a dream to succeed. Porn is a devil worshipping thing, fellas. Now, is the youth all you got in life? Where do you see yourself from here to 20 years ahead? Moral lesson? Many questions being raised by me, but one thing is for sure: people should give it a try.",2023-01-07
"Very 70s, beautiful composition, cool actors, film prints quality, no cheap monsters just creepy old people, some good music, some simulations from The Texas Chainsaw Massacre but not inferior at all, and actually the point of this film is kinda deep, unlike most horror movies just hitting the blood and violence with no points. I'm happy to find this movie during my Shanghai lockdown disaster 2022 lol... Just a little suggestion if the director or producer can read this, I think this anamorphic look is not necessary to fit 1.9:1 ratio, if I film this movie, I'll use normal spherical lenses to make a 3:2 ratio like A Clockwork Orange or use anamorphic lenses to make a 2.4:1 cinemascope ratio; I guess the director guy wanted the vintage cinematic look so he chose to go on anamorphic lenses? Just open the whole field of footages if it's possible and let that anamorphic beauty out plz or it's so wasted, I really hope you guys to remake post production this way for the 2nd version.",2022-04-20
"If you watch a horror movie, must of the viewers watch it for the scares, for the gore, if someone watches a horror movie for the plot I must say you are in the wrong place , X builds up the horror slowly but that doesn't make the movie boring, when the horror really starts the movie does it very well, there are some gnarly kills, the gore is pretty good, the movie is pretty entertaining.Pretty solid return to the horror genre for Ti West.",2022-04-21
"Went into this with a lot of optimism, walked away full of disappointment.The first 70 minutes nothing happens. Literally. It's not ""building the tension"". It's a bunch of people go to a farm house and shoot a porn. That's it.Then some gore occurs but it's pretty tame and extremely predictable. The ""horror"" is simply ""Aren't old people gross?! Eurgh, look at them"". Really? That's it.It's a shocker, and not in a positive way.",2022-04-25
"Hit or miss acting, but some of the actors performed well. Beautifully shot and visually striking, interesting enough plot but totally unnecessary twist at the end. Incredibly gratuitously violent. Lots of boobies and full dong.",2022-04-22
"The new Ti West's feature lenght horror movie X is a gross, sexy, blood-curdling and gory tribute to the beloved horror sub-genre 'the slasher'. With many references from older movies and West's signature filmmaking, X doesn't fail to disguss and scare the audience.Mia Goth and Jenna Ortega are stars and nobody can take that from them.",2022-04-18
"I liked the suspense and religious mystery behind this movie, the acting is much more than I expected from a horror. Some of the scenes are nasty and original, but sadly I could not say the same for the plot. We have already seen slashers like this 1000 times before and it was obvious from the very beginning which person is going to survive. About all the slow burners in the last period, I really can't understand what is the deal there, we should all fall asleep till the movie actually starts?",2022-04-14
"One of the best horror films in recent years. You got the perfect 70s grindhouse pseudo porn look, weird camera angles and music, a tremendous cast and characters (and the lead girl makes her job double as good!). And the main thing: an interesting plot that takes its time to complete the transformation from sleezy pseudo porn into a brutal gory slasher not to stall the audience but because THIS slasher is not only out for blood but for some deeper subtext too that need the time and space to unfold properly until it's ready to release the carnage. You don't see something like that often in a horror flick other than as an on the nose plot device. Here it's owned and cleverly embodied so that you can think about ""X"" from more than one angles. Well done, Mr. West. Well done!",2022-04-27
Well-made film. No question - however the audio absolutely Stoved me in. The whole movie was fake audio. It was ridiculously obvious. . all audio sound was the same despite the situation that the actors were in.,2022-03-27
"A bunch of kids find a creepy barn to shoot an adult film; and get more than they bargained for.The premise of this film is unpleasant, the plot and characters are pretty unpleasant and what happens turns out to be more than unpleasant.Die hard horror fans might enjoy this as it jangles nerves throughout and boasts it's fair share of jump scares.However as with most films like this it all feels rather inevitable and there's not really anything new here at all.The seventies vibe is nicely done and the hand held footage looks great.However there's not enough about this film to strongly recommend.",2023-10-04
"Didn't know what to expect. Just heard it was horror. I thought it was a lot better than I was expecting it to be. Story was good. 1979 era. So it's back in time before The Adult Industry we know today. It gave creepy stalker us vibes. Thought it was shot very well. Few sex scenes but they are making ""An Adult Movie"" in the film. Not over blown nudity. Concern begins when someone goes to check on someone. First 35-40 minutes is setting up to the ""Movie"" they are making. Little drama here jealousy there.... Then it just gets going! Really enjoyed the movie. Rumors have it they are planning a sequel prequel.... Looking forward to that if it comes. If not that's fine. But very good movie and enjoyed more than I thought.",2022-04-17
"Could have been better. A rural slasher movie which lacks tension, atmosphere, menace. Adds nothing new or worthwhile to the genre. The acting is poor the storyline trite. The start of the film shows the aftermath of what happens, the Sheriff is asked to look in the basement his face shows shock, horror cut to close up the real story then starts. At the end of the film expecting a return to the start by seeing what the Sheriff saw and maybe some shock twist we get nothing.",2022-08-07
"We watched the prequel first, and I have to say - knowing Pearl's story ahead of time allowed us to understand X much better than if we hadn't. Pearl should have been released first, and X as the sequel - X would have made a LOT more sense. X on its own is just weird, gross, and disturbing. Maybe that's what the director was going for? If so - mission accomplished! Pearl was on another level - we really enjoyed that one a lot. Mia Goth is a great actress and really showed her range in that film. Not so much in X.Other than that, pretty standard slasher with all of the usual elements and over the top gore. Very slow moving at first with gratuitous shock-value murder scenes and the usual final girl formula.",2023-09-18
"I loved this movie. It's got a great cast, camera work, all the slasher film tropes and that 70s feel to it. On the downside, I think the excessive use of prosthetic makeup for the oldies wasn't really needed.",2022-04-24
"+ Not bad characters
+ Setting is pretty cool
+ You can see that the author likes the genre...
Very bad villainsThe movie doesn't want what it want to be, a cheap horror flick, or a more ambitious productionVery bad scenes of 'romance' between the baddiesBad pacing in the second halfDisappointing movie.",2022-06-05
"Absolutely stunning scenery. Terrible story. It made zero sense, they didn't even try to keep any type of suspension or create an interesting plot. However I am still glad that I watched it. Some of the acting was superb, the images amazing, the zeitgeist beautifully portrayed, the humor well done and of course the scary part of Southern US(which is just so wonderful for horror) handsomely filmed and brought right to your doorstep. So yeah, definitely worth it. Some funny irony as well looking at the occupation of the main characters and how they are able, unlike the writers for this movie, to produce a quality story line in a genre that usually doesn't do quality. It looked so good it made me wonder if I will ever be able to see something that good in that type of genre ;)",2022-04-26
"Worth the watch for sure, really enjoyed it. Wasn't really much I would change. I'd watch it again. Wish the setting would of been during Fall so it'd be more aesthetic and vibey.",2022-03-20
"Ti West's X is many things, it is: a return of a full-throttle slasher, Ti West's first horror feature since 2013 as well as being A24's first ever slasher feature, which would be shifty followed by Bodies Bodies Bodies and X's own prequel, Pearl in the same year.Perhaps where X finds it's mastery is in how it both respects and embraces classic slasher tropes and formats while reinventing them as well. The movie opens like no other slasher movie before it, opening to the morning after the killings. The police at the scene, walking on blood stained floors which are littered with covered dead bodies before finding something disturbing in the basement below, all of that just before the audience is greeted with a title card of '24 Hours Earlier'. This ingeniously creates a claustrophobic time packet of tension for the reminder of the feature as the audience is has an estimate how many will die and where they will die but are left clueless as to who will it be and when it will happen. Furthermore, this adds to the mystic of who will survivor during the third act as once half the group is gone, the writing and camerawork of the movie suggests it could be any of the three remaining.The script is simply immaculate, expertly playing with the themes of the correlation between age and worth as well as the rise of independent filmmaking. Every scene is important and necessary. The characters are given depth and dialogue beyond the clear slasher trope in which they represent, each death not only foreshadowed but standing as a genius metaphor for each character's shortcomings or arc so therefore when a character's time comes, their death doesn't feel rushed or like it cheated in audience, it feels right as though it was written in fate for the character to pass that way. On a different note, the camerawork is frankly stunning, to the point where every single shot feels like it could be a painting, as well as homaging camerawork techniques of the 1970s era of cinema. The star-studded cast is just perfect. Mia Goth shines in her dual leading role with Brittany Snow and Martin Henderson delivering scene-stealing iconic performances.With X, A24 proves why they are the saviours of modern cinematic art. I cannot encourage you enough to watch X, it is truly a slasher masterpiece which will be looked at by future generations in the same light as the Original 'Texas Chain Saw Massacre' and 'Halloween'. Ti West and Mia Goth truly created something special with this film.",2022-12-04
"The movie has a basic plot, and basic setup. You pretty much know what's going to happen from the beginning. The characters are a little bit over the top, but it plays into the unwinding story that they all have some issues that made them who they are.My biggest issue with the movie is one that I find over and over again: the lame, tone deaf attempts at Texas accents by almost every one of the actors. Mia Goth is from London, but still affects the best semblance of a dialect of any of the rest of the cast. The dude who plays the old man was the worst. His attempt at an accent is silly and cliché. It's to the point where it becomes a distraction, the accents are so bad.All that being said, the tone and pace of the film are enjoyable, and lend to a creepy, sinister mood. While there are very few surprises, the movie is fun, and is a good watch if you're in the mood for a slasher.",2022-10-21
"Had friends over and decided to watch this film. The first hour is completely pointless, with no story and constant awkward sex scenes. The disappointment continues as the characters begin to wonder around the farm at night in their pants in order to help a creepy old man that is carrying a gun and is obviously going to murder them. Things took a turn for the worse when his disgusting old wife and him have gross sex in a bed above a woman that is hiding underneath. One positive is that it is filmed quite well and I enjoyed the old style of footage they used. Other then that don't bother, keep looking...",2022-12-03
This felt like it borrowed heavily from the chainsaw movies . Overlong with creepy old folks and dumbass younger folks who trusted them. It tried to be gross feels like something Rob Zombie would make. Just avoid. It generic.,2022-07-26
Ti West's entertaining homage to a filmmaking style long gone by is a fun watch and has some animated performances from its cast and many shocking and gruesome gore effects to keep the bloodthirsty among us happy.,2022-05-15
"TLDR: This is one of the worst movies out there. Life is short, please don't waste by watching this extemely horrible movie.After seeing sooooo many awards from Rotten tomatoes, this, that, I decided to give this a watch. I was having a very good day, and at the end of the day decided to watch this before going to sleep. What a mistake!I don't even know what to call this. I feel so bad, calling this a ""movie"", it's so bad.There's just weird cuts, frankly a grotesque story, with characters and story that will have you soo bored I can't even begin to explain it. There is no suspense, no horror, just plain boredom and nude shots. The story is just dumb, and based on what this mobe is based on, those things have a better story and characters than this absolute trash.Not at all expected from A24.This is the worst movie I've seen in my life as of now. Save your time, watch something else.",2023-01-14
"First of all I appreciate the entire team for making it to look like an old style horror flick that works really well. Sometimes it gave the vibe of ""Wrong turn"".The plot of this story is that the group of people are going to the mansion which located far away from the city to shoot adult film and what are all the issues they've faced after going there was the remaining story.The main problem is that the horror elements are starting after 1hr. The total duration of this movie is 1hr 46min and last 45mins is really amazing with very good amount of blood, gore and horror effects.And guess what the remaining 1hr was a solo porn movie. If you remove that 45 mins from this movie you can say it's a porn movie. Yes there are also some horror segments but it won't catch your attention.In fact I couldn't accept the justification for this movie given in climax. I think it may vary for person to person.Anyway I think it's a good movie to give a try.",2022-07-17
"This film is as gross and weird as many reviewers have explained. I loved it. The film has a bold and strong style, even Tarantino-like clearness surrounded the gore-fest. The film has interesting theme behind the obvious horror scenes within porn movie set in a farm: Is there anything more horrifying than getting old? Mia Goth is excellent in the leading role(s).",2022-03-27
"The movie was. Alright. Had high HIGH expectations. At first, this seemed like an artistical type of horror movie.it seemed nice, set in texas of 1979. Everything about this movie was set up nice. A group of young adults set out to be RICH from a triple X movie. The way the camera was transitioning seemed just fine, until they kept over using it. Over suspensing some areas of the movie, senior citizens being able to kill and stab, or the power to handle a powerful fire arm to kill 6 young adults is BEYOND me. I don't know about you but my grandma still needs a cane to even walk. Then talk about the uncomfortable scenes with the grandparents having sex was disastrous. At first, when the grandma killed the guy who was filming the movie seemed fine. Everything past that point was terrible. YUCK. Incredible performances from the actors like Jenna Ortega but terrible writing. Wow. Had the potential, had the perfect actors, perfect scenery, terrible writing. And how wrong this movie is to include religion into this??? A horror about the killing of young adults trying to make a sex tape. Why would you ever bring God to such a movie?",2022-04-15
Great casting and script details make this horror film better than most. These flawed likable characters meet up with with some really creepy villains in this extremely graphic violent gore flick. If you are a fan of the genre it is a must see.,2022-08-15
"This movie was weirdly entertaining. Subjectively, it's a pretty bad film. The writing was at times confusing for me and it definitely was a bit silly. Even though it was subjectively poor, my eyes were constantly glued to the screen. It was extremely fun to watch with friends. A horror movie hasn't made me sit on the edge of my seat as much as this one did. My heart was racing throughout the movie. The retro vibe was also super cool. Entertaining and decently scary, ""X"" will go down as a classic in my books.I definitely think this movie is worth the watch with friends. It's a fun and heart-pumping slasher that will more than likely have you entertained.",2022-10-31
"From he Lens of the camera to the cinematography, everything about this movie was made by a true slash fan. Lots of fun and surprisingly very funny at times. The cast was amazing and although it is a extraordinarily creepy film at times for some reason I couldn't take my eyes of it.",2022-04-23
"Review: X (SPOILERS)Ti West delivers a solid but familiar horror outing with X, a clear homage to 70's horror set in rural America and Tobe Hooper's The Texas Chainsaw Massacre in particular.The story - set in Texas - involves a group of people out to make an adult film who rent a barn from an elderly couple in the middle of nowhere circa 1979 .As filming gets underway, the film crew runs afoul of the couple, particularly the wife, a deranged, sexually repressed psychopath named Pearl. Before long, the ground is painted with blood and gore as the couple stalk and kill the filmmakers over the course of one insane night.I'll cut to the chase and break down the pros and cons here:The Good:Ti West again demonstrates his skills as a filmmaker and ability to homage horror subgenres while capturing the feel of the decade which produced them (the 70's here, the 80's for House of the Devil) with strong direction and a decent script. He also manages some really terrific set pieces, including a masterful nail biter involving a woman swimming in a lake, unaware a large alligator is nearby, watching her.He's aided by a terrific cast of legitimately likeable, if somewhat sleazy, characters. The MVP here is easily Mia Goth, who does double time as aspiring star Maxine and the maniacal killer Pearl, the latter of whom is the breakout character of the film, proving herself both deliciously creepy and startlingly capable of laying down brutal murders.When the red stuff starts flowing the kills are outstanding. Gorehounds won't be disappointed. Kudos as well to the soundtrack, which actually has the film ending with ""Bad Case of Loving You"" by Robert Palmer, a decision for which it earns an entire star on my rating.The not so good:For all the raves this film received, I was surprised at how formulaic it actually proved to be. If you've seen movies like The Texas Chainsaw Massacre or most rural set horror flicks about city people getting in over their heads with folks who live outside the edges of society, you'll see this entire movie coming.The pacing is problematic as well..I appreciate a good slow burn and for a movie like House of the Devil it works particularly well. But at some point you have to get to the gruesome parts in a movie like this and that doesn't happen until some forty five minutes into a one hour and forty six minute movie.And that's another thing: X didn't need to be this long. West could have trimmed ten minutes easily and ended up with a tighter, better paced film. A lot of the same character beats are repeated before we get to the first murder. Even the original Texas Chainsaw Massacre had the sense to kill a couple of characters in the first half hour.Which brings me to a specific moment I thought didn't work..and to discuss that, I have to warn you:
****MASSIVE SPOILERS AHEAD*****Jenna Ortega appears as Lorraine, a production crew member apparently dating the screenwriter who decides she wants to be in the film and have a sex scene, over the horrified objections of her boyfriend. The boyfriend is so upset, he actually decides to leave with the van in the middle of the night after the scene is filmed, setting up his murder.This could have been a relatively interesting spin on giving a female character agency and self empowerment ( of a sort...it IS a porno shoot) , but the movie follows on this by having her character be lured into a cellar where she discovers a dead body, get locked in and be all but forgotten until the final few minutes when another character frees her and, in a fit of anger, she screams at the person that she's sorry she got involved in any of this and she hates all of them. Lorraine then follows this by stupidly running out the front door where she is immediately killed with a shotgun blast by Pearl's husband.So not only did she do a complete character turnaround (remember, she wasn't originally in the film, just on the crew, and her filming a sex scene was her own idea) , but she dies because she does something utterly stupid. Her storyline goes nowhere and this turn of events left me regarding her choice to be in the porno movie as nothing more than a plot device to get RJ outside in the van after. It's a pointless scene that bears no impact on the outcome of the film and seems awkward and unnecessary.****""END SPOILERS*****Overall, I did enjoy X quite a bit and in no way consider it a bad film. But I don't think it's the modem classic reviews made it out to be. It takes too long to get going and it's a pretty by the numbers backwoods/rural horror flick, one with at least one completely useless character beat the movie spends too much time on.***1/2 out of ***** I enjoyed X and I recommend horror fans watch it at least once, but I doubt I'll ever watch it again.",2023-07-12
"Love it, love it, love it. Finally another horror movie where you go home afterwards and think what the F have I been watching? It's a really weird movie. The film builds up slowly but works towards a bizarre, gruesome and at times tense ending. Somehow I can understand that people don't appreciate the film, but don't take it too seriously and just get carried away in this crazy story. It's a really funny creepy rollercoaster. I definitely give it a 9!",2022-03-27
"A grimy, gory, good time at the movies; also one of the first films in recent memory where the phrase ""they don't make 'em like they used to"" doesn't hold water. The film pays a lot of respect to horror cinema of the past, while also bringing a lot of fresh material to the table. God, it felt good to sit in a packed theatre, late at night, and just scream.",2022-04-07
